caption_chars,credibility_score,error,error_category,generation_origin,generation_origin_score,ingest_notes,job_id,status,top_claim_status,transcript_chars,url
149,67.46,,ingest:no_transcript_subtitles_unavailable,low,1.38,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: Manisha Phulwani). | Could not fetch YouTube transcript (disabled/unavailable). | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback). | Source-check: low alignment with trusted sources (0/1 claims matched).,1185f6a0e8e6402cbcac8e4403ee18c4,completed,not_enough_evidence,0,https://youtube.com/shorts/S59hoWz9V28?si=lnhu5Wkc1-3OJimS
195,70.29,,ingest:metadata_fallback_used,low,1.46,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: NEW LIFE 007). | Could not fetch YouTube transcript (disabled/unavailable). | Recovered on-screen text using frame OCR fallback. | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback). | Source-check: low alignment with trusted sources (0/1 claims matched).,a3e1daf326834985824afb56e5e3f4fb,completed,not_enough_evidence,19,https://youtube.com/shorts/Ty2O5PhrYWU?si=xBtSWMhJVIDM0EFC
125,67.35,,ingest:no_transcript_subtitles_unavailable,low,1.37,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: TripleTen). | Could not fetch YouTube transcript (disabled/unavailable). | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback). | Source-check: low alignment with trusted sources (0/1 claims matched).,455ab262d73a458b932d7d83f9e46dff,completed,not_enough_evidence,0,https://youtube.com/shorts/VAq9tB5Aox4?si=AZ5s_ocdbHb3WbhX
171,68.39,,ingest:no_transcript_subtitles_unavailable,low,1.38,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: Factor_). | Could not fetch YouTube transcript (disabled/unavailable). | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback). | Source-check: low alignment with trusted sources (0/1 claims matched).,f6825a9ddb2c49aa9011af01e7e25d25,completed,not_enough_evidence,0,https://youtube.com/shorts/Yd3uywfc3sE?si=KNMpI67i16rsMR2V
192,68.18,,ingest:no_transcript_subtitles_unavailable,low,1.38,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: Disha Tewani). | Could not fetch YouTube transcript (disabled/unavailable). | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback). | Source-check: low alignment with trusted sources (0/1 claims matched).,1028b9c7996c4b4184363c28be4c8145,completed,not_enough_evidence,0,https://youtube.com/shorts/ZlHM6ypqDHg?si=gy7xzdmD8pDVldpj
158,67.66,,ingest:no_transcript_subtitles_unavailable,low,1.38,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: Tera Trigun). | Could not fetch YouTube transcript (disabled/unavailable). | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback). | Source-check: low alignment with trusted sources (0/1 claims matched).,23f91c2258f4404bb6c6561d484c54f4,completed,not_enough_evidence,0,https://youtube.com/shorts/_mr0VmPrHHs?si=kT5yofB-Oq3uiXF1
196,68.29,,ingest:no_transcript_subtitles_unavailable,low,1.38,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: Harjeet Cooks). | Could not fetch YouTube transcript (disabled/unavailable). | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback). | Source-check: low alignment with trusted sources (0/1 claims matched).,535d6668a0aa48469e54a21d14c74cb2,completed,not_enough_evidence,0,https://youtube.com/shorts/eeqPuRz3Lg0?si=8PZdL9ZBQQDqbjNn
185,67.77,,ingest:no_transcript_subtitles_unavailable,low,1.53,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: Bianca Limon). | Could not fetch YouTube transcript (disabled/unavailable). | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback). | Source-check: low alignment with trusted sources (0/1 claims matched).,6f6d91a8a5bc4d42839afeeb5d4ae0b3,completed,not_enough_evidence,0,https://youtube.com/shorts/fHJG5ahdrIg?si=3mTvGhqWgeyIwuPd
144,67.46,,ingest:no_transcript_subtitles_unavailable,low,1.38,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: Rhia Official). | Could not fetch YouTube transcript (disabled/unavailable). | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback). | Source-check: low alignment with trusted sources (0/1 claims matched).,eb82811e5fa24e86926c2213c991b616,completed,not_enough_evidence,0,https://youtube.com/shorts/phd6U9OYqJw?si=HVD5FnHcz1I-Lkhy
154,70.5,,ingest:metadata_fallback_used,low,1.31,"Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: Mangru Film,z). | Could not fetch YouTube transcript (disabled/unavailable). | Recovered on-screen text using frame OCR fallback. | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback). | Source-check: low alignment with trusted sources (0/1 claims matched).",c444e3938d024df191e78d1ebdd2f8ee,completed,not_enough_evidence,40,https://youtube.com/shorts/zF7l0Kf9bpU?si=8zGV6sVybw7NfcGe
